,Player Names,Player Salaries
162,Cedi Osman,"$7,775,400"
163,Evan Mobley,"$7,622,467"
164,De'Andre Hunter,"$7,568,743"
165,DJ Augustin,"$7,518,518"
166,Mo Bamba,"$7,500,000"
167,Ivica Zubac,"$7,500,000"
168,TJ McConnell,"$7,422,000"
169,Rajon Rondo,"$7,310,000"
170,Patrick Williams,"$7,280,400"
171,Cory Joseph,"$7,040,880"
172,Scottie Barnes,"$7,020,000"
173,Darius Garland,"$7,000,000"
174,Chris Boucher,"$7,000,000"
175,PJ Tucker,"$6,920,027"
176,Zach Collins,"$6,907,815"
177,Wendell Carter,"$6,720,720"
178,Juan Hernangomez,"$6,592,920"
179,Isaac Okoro,"$6,500,000"
180,Jalen Suggs,"$6,431,666"
181,Cameron Payne,"$6,395,160"
182,Joakim Noah,"$6,350,000"
183,Jarrett Culver,"$6,349,671"
184,Khem Birch,"$6,104,280"
185,Collin Sexton,"$6,006,420"
186,Onyeka Okongwu,"$5,988,000"
187,Justin Holiday,"$5,890,000"
188,Josh Giddey,"$5,890,000"
189,Patrick Mills,"$5,890,000"
190,Rudy Gay,"$5,845,978"
191,Dennis Schroeder,"$5,837,760"
192,Kevin Knox,"$5,573,333"
193,Coby White,"$5,572,680"
194,Timofey Mozgov,"$5,557,725"
195,Killian Hayes,"$5,495,532"
196,Mikal Bridges,"$5,466,360"
197,Shai Gilgeous-Alexander,"$5,421,493"
198,Jonathan Kuminga,"$5,348,280"
199,Miles Bridges,"$5,333,334"
200,Jaxson Hayes,"$5,317,430"
201,Pat Connaughton,"$5,275,491"
202,Kris Dunn,"$5,258,735"
203,George Hill,"$5,256,308"
204,Michael Porter,"$5,214,583"
205,Dewayne Dedmon,"$5,200,000"
206,Ryan Anderson,"$5,178,572"
207,Hamidou Diallo,"$5,170,564"
208,Kevon Looney,"$5,105,160"
209,Troy Brown,"$5,007,840"
210,Obi Toppin,"$5,005,350"
211,Franz Wagner,"$5,000,000"
212,Josh Jackson,"$5,000,000"
213,Kendrick Nunn,"$5,000,000"
214,Louis Williams,"$5,000,000"
215,Luol Deng,"$5,000,000"
216,Robin Lopez,"$4,997,424"
217,JaVale McGee,"$4,916,160"
218,Danuel House,"$4,910,000"
219,Rui Hachimura,"$4,910,000"
220,Garrett Temple,"$4,878,049"
221,Taj Gibson,"$4,736,102"
222,Torrey Craig,"$4,692,840"
223,Bruce Brown,"$4,675,830"
224,Deni Avdija,"$4,670,160"
225,Donte DiVincenzo,"$4,650,000"
226,Cam Reddish,"$4,629,630"
227,David Nwaba,"$4,603,200"
228,Furkan Korkmaz,"$4,500,000"
229,Davion Mitchell,"$4,500,000"
230,Ishmael Smith,"$4,500,000"
231,Jeff Green,"$4,458,000"
232,Bryn Forbes,"$4,447,896"
233,Jalen Smith,"$4,437,000"
234,Lonnie Walker,"$4,373,040"
235,Cameron Johnson,"$4,347,600"
236,Ziaire Williams,"$4,347,600"
237,Bobby Portis,"$4,253,357"
238,Moe Harkless,"$4,235,160"
239,Kevin Huerter,"$4,224,186"
240,Devin Vassell,"$4,220,083"
241,Chandler Hutchison,"$4,215,120"
242,Willie Cauley-Stein,"$4,154,400"
243,PJ Washington,"$4,107,149"
244,James Bouknight,"$4,087,904"
245,Jevon Carter,"$4,054,695"
246,Josh Okogie,"$4,050,000"
247,Grayson Allen,"$4,023,600"
248,Jarred Vanderbilt,"$4,004,280"
249,Tyrese Haliburton,"$4,000,000"
250,Tyler Herro,"$4,000,000"
251,Dorian Finney-Smith,"$4,000,000"
252,Terence Davis,"$3,980,551"
253,Gorgui Dieng,"$3,946,800"
254,Aaron Holiday,"$3,940,184"
255,Josh Primo,"$3,938,818"
256,Jake Layman,"$3,902,439"
257,Anfernee Simons,"$3,822,240"
258,Justise Winslow,"$3,804,360"
259,Kira Lewis,"$3,799,131"
260,Romeo Langford,"$3,768,342"
261,Sekou Doumbouya,"$3,749,400"
262,Landry Shamet,"$3,732,000"
263,Chris Duarte,"$3,661,976"
264,Alex Len,"$3,631,200"
265,Robert Williams,"$3,562,200"
266,Aaron Nesmith,"$3,500,000"
267,Moses Moody,"$3,500,000"
268,Boban Marjanovic,"$3,449,400"
269,Mike Muscala,"$3,383,640"
270,Cole Anthony,"$3,355,239"
271,Corey Kispert,"$3,300,000"
272,Luka Samanic,"$3,300,000"
273,Georges Niang,"$3,277,080"
274,Michael Carter-Williams,"$3,277,080"
275,Isaiah Stewart,"$3,261,480"
276,Chuma Okeke,"$3,214,680"
277,Nickeil Alexander-Walker,"$3,200,000"
278,Alperen Sengun,"$3,169,348"
279,Facundo Campazzo,"$3,150,000"
280,Jon Leuer,"$3,113,160"
281,Trey Burke,"$3,098,400"
282,Aleksej Pokusevski,"$3,053,760"
283,Goga Bitadze,"$3,000,000"
284,Trey Murphy,"$3,000,000"
285,Sterling Brown,"$2,957,520"
286,Frank Jackson,"$2,901,240"
287,Josh Green,"$2,844,429"
288,Tre Mann,"$2,840,160"
289,Andrew Nicholson,"$2,824,320"
290,Matisse Thybulle,"$2,770,560"
291,Saddiq Bey,"$2,726,880"
292,Kai Jones,"$2,711,280"
293,Brandon Clarke,"$2,692,991"
294,Precious Achiuwa,"$2,659,680"
295,Marc Gasol,"$2,641,691"
296,Jalen Johnson,"$2,641,691"
297,LaMarcus Aldridge,"$2,641,691"
298,James Johnson,"$2,641,691"
299,Ed Davis,"$2,641,691"
300,Andre Iguodala,"$2,641,691"
301,Enes Kanter,"$2,641,691"
302,Carmelo Anthony,"$2,641,691"
303,Trevor Ariza,"$2,641,691"
304,Avery Bradley,"$2,641,691"
305,Wayne Ellington,"$2,641,691"
306,Dwight Howard,"$2,641,691"
307,Udonis Haslem,"$2,641,691"
308,Markieff Morris,"$2,641,691"
309,E'Twaun Moore,"$2,617,800"
310,Paul Millsap,"$2,602,920"
311,Grant Williams,"$2,553,240"
312,Tyrese Maxey,"$2,513,040"
313,Keon Johnson,"$2,500,000"
314,Darius Bazley,"$2,498,760"
315,Trey Lyles,"$2,451,240"
316,Zeke Nnaji,"$2,412,840"
317,Isaiah Jackson,"$2,401,537"
318,Ty Jerome,"$2,401,537"
319,Andre Drummond,"$2,401,537"
320,Austin Rivers,"$2,401,537"
321,Kent Bazemore,"$2,389,641"
322,Hassan Whiteside,"$2,389,641"
323,Otto Porter,"$2,389,641"
324,Victor Oladipo,"$2,389,641"
325,Tony Snell,"$2,389,641"
326,Solomon Hill,"$2,389,641"
327,Ben McLemore,"$2,353,320"
328,Cody Zeller,"$2,353,320"
329,Usman Garuba,"$2,327,220"
330,Leandro Bolmaro,"$2,320,000"
331,Willy Hernangomez,"$2,316,240"
332,Edmond Sumner,"$2,303,040"
333,Nassir Little,"$2,271,045"
334,RJ Hampton,"$2,259,240"
335,DeAndre Bembry,"$2,245,400"
336,Josh Christopher,"$2,239,820"
337,Monta Ellis,"$2,239,544"
338,Drew Eubanks,"$2,239,544"
339,Rodney Hood,"$2,239,200"
340,Elfrid Payton,"$2,210,640"
341,Dylan Windler,"$2,200,000"
342,Immanuel Quickley,"$2,168,640"
343,John Konchar,"$2,161,440"
344,Quentin Grimes,"$2,161,152"
345,Jordan Poole,"$2,145,720"
346,Bol Bol,"$2,137,440"
347,Keldon Johnson,"$2,130,023"
348,Payton Pritchard,"$2,096,880"
