,Player Names,Player Salaries
162,Evan Mobley,"$7,775,400"
163,De'Andre Hunter,"$7,622,467"
164,DJ Augustin,"$7,568,743"
165,Mo Bamba,"$7,518,518"
166,Ivica Zubac,"$7,500,000"
167,TJ McConnell,"$7,500,000"
168,Rajon Rondo,"$7,422,000"
169,Patrick Williams,"$7,310,000"
170,Cory Joseph,"$7,280,400"
171,Scottie Barnes,"$7,040,880"
172,Darius Garland,"$7,020,000"
173,Chris Boucher,"$7,000,000"
174,PJ Tucker,"$7,000,000"
175,Zach Collins,"$6,920,027"
176,Wendell Carter,"$6,907,815"
177,Juan Hernangomez,"$6,720,720"
178,Isaac Okoro,"$6,592,920"
179,Jalen Suggs,"$6,500,000"
180,Cameron Payne,"$6,431,666"
181,Joakim Noah,"$6,395,160"
182,Jarrett Culver,"$6,350,000"
183,Khem Birch,"$6,349,671"
184,Collin Sexton,"$6,104,280"
185,Onyeka Okongwu,"$6,006,420"
186,Justin Holiday,"$5,988,000"
187,Josh Giddey,"$5,890,000"
188,Patrick Mills,"$5,890,000"
189,Rudy Gay,"$5,890,000"
190,Dennis Schroeder,"$5,845,978"
191,Kevin Knox,"$5,837,760"
192,Coby White,"$5,573,333"
193,Timofey Mozgov,"$5,572,680"
194,Killian Hayes,"$5,557,725"
195,Mikal Bridges,"$5,495,532"
196,Shai Gilgeous-Alexander,"$5,466,360"
197,Jonathan Kuminga,"$5,421,493"
198,Miles Bridges,"$5,348,280"
199,Jaxson Hayes,"$5,333,334"
200,Pat Connaughton,"$5,317,430"
201,Kris Dunn,"$5,275,491"
202,George Hill,"$5,258,735"
203,Michael Porter,"$5,256,308"
204,Dewayne Dedmon,"$5,214,583"
205,Ryan Anderson,"$5,200,000"
206,Hamidou Diallo,"$5,178,572"
207,Kevon Looney,"$5,170,564"
208,Troy Brown,"$5,105,160"
209,Obi Toppin,"$5,007,840"
210,Franz Wagner,"$5,005,350"
211,Josh Jackson,"$5,000,000"
212,Kendrick Nunn,"$5,000,000"
213,Louis Williams,"$5,000,000"
214,Luol Deng,"$5,000,000"
215,Robin Lopez,"$5,000,000"
216,JaVale McGee,"$4,997,424"
217,Danuel House,"$4,916,160"
218,Rui Hachimura,"$4,910,000"
219,Garrett Temple,"$4,910,000"
220,Taj Gibson,"$4,878,049"
221,Torrey Craig,"$4,736,102"
222,Bruce Brown,"$4,692,840"
223,Deni Avdija,"$4,675,830"
224,Donte DiVincenzo,"$4,670,160"
225,Cam Reddish,"$4,650,000"
226,David Nwaba,"$4,629,630"
227,Furkan Korkmaz,"$4,603,200"
228,Davion Mitchell,"$4,500,000"
229,Ishmael Smith,"$4,500,000"
230,Jeff Green,"$4,500,000"
231,Bryn Forbes,"$4,458,000"
232,Jalen Smith,"$4,447,896"
233,Lonnie Walker,"$4,437,000"
234,Cameron Johnson,"$4,373,040"
235,Ziaire Williams,"$4,347,600"
236,Bobby Portis,"$4,347,600"
237,Moe Harkless,"$4,253,357"
238,Kevin Huerter,"$4,235,160"
239,Devin Vassell,"$4,224,186"
240,Chandler Hutchison,"$4,220,083"
241,Willie Cauley-Stein,"$4,215,120"
242,PJ Washington,"$4,154,400"
243,James Bouknight,"$4,107,149"
244,Jevon Carter,"$4,087,904"
245,Josh Okogie,"$4,054,695"
246,Grayson Allen,"$4,050,000"
247,Jarred Vanderbilt,"$4,023,600"
248,Tyrese Haliburton,"$4,004,280"
249,Tyler Herro,"$4,000,000"
